id,role,name,department,admission_year,password_hash
2018001,student,최학생,기계공학과,2018,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
2019001,student,박학생,경영학과,2019,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
2019002,student,임학생,물리천문학과,2019,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
2020001,student,김학생,컴퓨터공학과,2020,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
2020002,student,이학생,전자공학과,2020,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
2020003,student,한학생,수학통계학과,2020,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
2021001,student,정학생,나노신소재공학과,2021,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
2021002,student,윤학생,창의소프트학부,2021,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
2022001,student,강학생,소프트웨어학과,2022,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
2022002,student,송학생,생명시스템학부,2022,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
A001,admin,서관리,NULL,2016,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
P001,professor,박교수,컴퓨터공학과,2010,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
P002,professor,김교수,전자공학과,2005,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
P003,professor,이교수,경영학과,2015,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4
